best_lr, best_mom, best_accuracy 0.0005095 , 0.775 , (36.1, 361)
best_lr, best_mom, best_accuracy 0.0005095 , 0.7954 , (34.7, 347)
best_lr, best_mom, best_accuracy 0.00047893 , 0.805 , (35.4, 354)
best_lr, best_mom, best_accuracy 0.0005095 , 0.745 , (35.7, 357)
best_lr, best_mom, best_accuracy 0.00043817 , 0.82 , (36.9, 369)
best_lr, best_mom, best_accuracy 0.00047893 , 0.82665 , (35.3, 353)
best_lr, best_mom, best_accuracy 0.0005095 , 0.835 , (35.9, 359)
best_lr, best_mom, best_accuracy 0.0005095 , 0.65065 , (34.4, 344)
best_lr, best_mom, best_accuracy 0.0005095 , 0.7448 , (34.7, 347)
best_lr, best_mom, best_accuracy 0.00041779 , 0.82665 , (36.3, 363)
best_lr, best_mom, best_accuracy 0.00047893 , 0.7682 , (36.1, 361)
best_lr, best_mom, best_accuracy 0.00045855 , 0.6916 , (34.2, 342)
best_lr, best_mom, best_accuracy 0.00082738 , 0.715 , (36.4, 364)
best_lr, best_mom, best_accuracy 0.0005095 , 0.7 , (34.3, 343)
best_lr, best_mom, best_accuracy 0.0005095 , 0.805 , (36.2, 362)
