best_lr, best_mom, best_accuracy 0.0005095 , 0.715 , (34.7, 347)
best_lr, best_mom, best_accuracy 0.0005095 , 0.775 , (34.7, 347)
best_lr, best_mom, best_accuracy 0.0005095 , 0.79 , (33.5, 335)
best_lr, best_mom, best_accuracy 0.0005095 , 0.775 , (33.6, 336)
best_lr, best_mom, best_accuracy 0.0005095 , 0.79 , (34.5, 345)
best_lr, best_mom, best_accuracy 0.0005095 , 0.73 , (34.6, 346)
best_lr, best_mom, best_accuracy 0.0005095 , 0.73 , (34.9, 349)
best_lr, best_mom, best_accuracy 0.0005095 , 0.835 , (34.4, 344)
best_lr, best_mom, best_accuracy 0.0005095 , 0.79 , (34.9, 349)
best_lr, best_mom, best_accuracy 0.001009 , 0.715 , (34.6, 346)
best_lr, best_mom, best_accuracy 0.0005095 , 0.76 , (34.7, 347)
best_lr, best_mom, best_accuracy 0.0005095 , 0.85 , (35.3, 353)
best_lr, best_mom, best_accuracy 0.0005095 , 0.79 , (37.1, 371)
best_lr, best_mom, best_accuracy 0.0005095 , 0.82 , (36.0, 360)
best_lr, best_mom, best_accuracy 0.0005095 , 0.775 , (33.9, 339)
